account,date,total_pnl,total_volume,total_fee,trade_count,buy_count,sell_count,avg_exec_price,coins_traded,net_pnl,buy_ratio
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-24,347.22838,17405.58,6.46564692,120,59,61,2.8898283583333333,9,340.76273308000003,0.4917
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-25,124.70498799999999,28493.72,11.00739186,118,73,45,7.511765533898305,8,113.69759613999999,0.6186
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-26,273.211119,35426.18,11.383431,106,57,49,5.951723037735849,11,261.827688,0.5377
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-27,838.930696,327978.27999999997,118.08617435,268,154,114,25558.609055130597,10,720.84452165,0.5746
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-28,1019.55769,94256.64,32.20703597,151,70,81,20642.44906536424,9,987.35065403,0.4636
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-29,152.618804,14317.3,4.761573,42,22,20,12247.077827380952,6,147.857231,0.5238
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-30,1234.2072,33889.56,12.06936192,86,25,61,10976.365657558139,7,1222.1378380800002,0.2907
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-31,755.916254,18338.89,6.418588,49,11,38,8543.290112040815,5,749.497666,0.2245
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,3.536668000000001,53933.29,18.86497698,51,30,21,42093.13412627451,9,-15.328308980000001,0.5882
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,-1416.906536,120908.25,35.3271459,91,80,11,24001.970094945056,11,-1452.2336819,0.8791
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,439.634046,93869.36,19.67962575,75,27,48,33075.7899684,7,419.95442025,0.36
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-04,1291.500575,54703.67,11.67501298,48,31,17,16962.027982708332,5,1279.82556202,0.6458
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-05,696.8107239999999,75729.73,22.582462,83,45,38,27493.516312891566,5,674.228262,0.5422
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-06,358.877096,65416.700000000004,12.82953248,45,28,17,28347.83808666667,4,346.04756352,0.6222
